Country,latitude,longitude
Afghanistan ," 33° 56 2.54"" "," 67° 42 12.35"" E"
Aland Islands ," 60° 11 58.38"" "," 20° 22 16.22"" E"
Albania ," 41° 09 10.46"" "," 20° 09 38.06"" E"
Algeria ," 28° 01 44.34"" "," 1° 39 60.00"" E"
American Samoa ," -14° 18 23.07"" "," -170° 41 42.06"" W"
Andorra ," 42° 32 32.17"" "," 1° 35 51.62"" E"
Angola ," -11° 12 48.69"" "," 17° 52 37.21"" E"
Anguilla ," 18° 13 23.77"" "," -63° 03 23.88"" W"
Antarctica ," -69° 38 7.50"" "," 0° 00 0.00"" E"
Antigua and Barbuda ," 17° 05 12.98"" "," -61° 47 0.57"" W"
Argentina ," -38° 25 9.35"" "," -63° 35 56.11"" W"
Armenia ," 40° 04 14.23"" "," 45° 02 26.67"" E"
Aruba ," 12° 31 3.26"" "," -69° 57 53.81"" W"
Australia ," -26° 26 20.73"" "," 133° 16 52.76"" E"
Austria ," 47° 41 47.30"" "," 13° 20 44.64"" E"
Azerbaijan ," 40° 09 7.79"" "," 47° 36 56.03"" E"
Bahamas ," 24° 05 15.89"" "," -76° 35 36.63"" W"
Bahrain ," 25° 56 36.33"" "," 50° 36 5.39"" E"
Bangladesh ," 23° 41 39.52"" "," 90° 20 39.67"" E"
Barbados ," 13° 11 24.48"" "," -59° 32 8.03"" W"
Belarus ," 53° 43 0.99"" "," 27° 58 39.28"" E"
Belgium ," 50° 30 3.88"" "," 4° 28 35.25"" E"
Belize ," 17° 11 26.81"" "," -88° 21 34.77"" W"
Benin ," 9° 19 18.20"" "," 2° 18 36.02"" E"
Bermuda ," 32° 19 9.04"" "," -64° 46 1.50"" W"
Bhutan ," 27° 31 53.11"" "," 90° 26 9.07"" E"
"Bolivia, Plurinational State of "," -16° 17 1.34"" "," -63° 32 57.83"" W"
"Bonaire, Sint Eustatius and Saba "," 12° 10 6.14"" "," -68° 18 29.46"" W"
Bosnia and Herzegovina ," 43° 54 59.54"" "," 17° 40 19.74"" E"
Botswana ," -22° 20 34.23"" "," 24° 41 13.58"" E"
Bouvet Island ," -54° 25 19.83"" "," 3° 21 38.12"" E"
Brazil ," -14° 14 24.26"" "," -53° 10 49.81"" W"
British Indian Ocean Territory ," -7° 20 4.64"" "," 72° 25 27.30"" E"
Brunei Darussalam ," 4° 31 27.29"" "," 114° 43 10.66"" E"
Bulgaria ," 42° 43 29.97"" "," 25° 28 59.89"" E"
Burkina Faso ," 12° 14 22.20"" "," -1° 33 30.27"" W"
Burundi ," -3° 23 22.59"" "," 29° 55 32.10"" E"
Cambodia ," 11° 59 16.68"" "," 104° 58 50.21"" E"
Cameroon ," 7° 22 10.74"" "," 12° 20 40.51"" E"
Canada ," 56° 00 0.00"" "," -96° 00 0.00"" W"
